id,price,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,PREÇO POR ÁREA CONSTRUÍDA,CARO,MEDIA,CONFERE
1424130220,991500,20150309,4,3,3820,26895,2,0,2,3,11,3820,0,1995,0,98072,47.7253,-122.092,3820,24751,259.5549738,acima,,abaixo
1630700276,385000,20150105,2,1.5,1370,159865,1,0,0,3,7,1370,0,1960,0,98072,47.7592,-122.092,1370,16217,281.0218978,acima,,acima
6979970080,525000,20140513,3,3.5,2876,5086,2,0,0,3,8,2360,516,2007,0,98072,47.7511,-122.173,2390,4419,182.5452017,abaixo,,abaixo
2738640310,680000,20150409,4,2.5,3490,3677,2,0,0,3,9,2850,640,2007,0,98072,47.774,-122.162,3440,3600,194.8424069,abaixo,,abaixo
9532000070,536000,20141201,4,2.5,2520,4831,2,0,0,3,8,2520,0,2009,0,98072,47.7711,-122.168,2430,3937,212.6984127,abaixo,,abaixo
2738640040,644000,20150409,4,2.5,3310,4839,2,0,0,3,9,3310,0,2007,0,98072,47.773,-122.161,3240,5280,194.5619335,abaixo,,abaixo
2738630040,613500,20150427,4,2.5,3020,6068,2,0,0,3,9,3020,0,2006,0,98072,47.773,-122.16,3240,5757,203.1456954,abaixo,,abaixo
9532000010,515000,20150416,3,2.5,2000,3837,2,0,0,3,8,2000,0,2011,0,98072,47.7713,-122.167,2210,4075,257.5,acima,,abaixo
9532000500,415000,20140801,3,2.5,1610,3600,2,0,0,3,8,1610,0,2010,0,98072,47.771,-122.169,2210,3600,257.7639752,acima,,abaixo
2738640470,623300,20140716,4,3.5,4170,4524,2,0,0,3,9,3500,670,2007,0,98072,47.7726,-122.162,3510,5001,149.4724221,abaixo,,abaixo
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Acertos,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,,,,
